order;monarch;birth_year;birth_month;birth_day;birth_date_certain;death_year;death_month;death_day;death_date_certain;reign_start_year;reign_start_date_certain;reign_end_year;reign_end_date_certain
1;gorm_den_gamle;NA;NA;NA;NA;958;NA;NA;no;936;no;958;no
2;harald_1_blåtand;NA;NA;NA;NA;987;NA;NA;no;958;no;987;no
3;svend_1_tveskæg;NA;NA;NA;NA;1014;NA;NA;yes;987;no;1014;yes
4;harald_2;NA;NA;NA;NA;1018;NA;NA;no;1014;yes;1018;yes
5;knud_1_den_store;995;NA;NA;no;1035;NA;NA;yes;1018;yes;1035;yes
6;hardeknud;1020;NA;NA;yes;1042;NA;NA;yes;1035;yes;1042;yes
7;magnus_den_gode;1024;NA;NA;yes;1047;NA;NA;yes;1042;yes;1047;yes
8;svend_2_estridsen;NA;NA;NA;NA;1076;4;28;yes;1047;yes;1074;yes
9;harald_3_hen;NA;NA;NA;NA;1080;NA;NA;yes;1074;yes;1080;yes
10;knud_2_den_hellige;NA;NA;NA;NA;1086;7;10;yes;1080;yes;1086;yes
11;oluf_1_hunger;NA;NA;NA;NA;1095;NA;NA;yes;1086;yes;1095;yes
12;erik_1_ejegod;1056;NA;NA;no;1103;NA;NA;yes;1095;yes;1103;yes
13;niels;NA;NA;NA;NA;1134;NA;NA;yes;1104;yes;1134;yes
14;erik_2_emune;NA;NA;NA;NA;1137;7;18;yes;1134;yes;1137;yes
15;erik_3_lam;NA;NA;NA;NA;1146;8;27;yes;1137;yes;1146;yes
16;svend_3_grathe;NA;NA;NA;NA;1157;NA;NA;yes;1146;yes;1157;yes
16;knud_3;NA;NA;NA;NA;1157;NA;NA;yes;1146;yes;1157;yes
17;valdemar_1_den_store;1131;NA;NA;yes;1182;NA;NA;yes;1146;yes;1182;yes
18;knud_4;1163;NA;NA;yes;1202;NA;NA;yes;1182;yes;1202;yes
19;valdermar_2_sejr;1170;NA;NA;yes;1241;NA;NA;yes;1202;yes;1241;yes
20;erik_24_plovpenning;1216;NA;NA;yes;1250;NA;NA;yes;1241;yes;1250;yes
21;abel;1218;NA;NA;no;1252;NA;NA;yes;1250;yes;1252;yes
22;christoffer_1;1219;NA;NA;no;1259;NA;NA;yes;1252;yes;1259;yes
23;erik_5_klipping;1249;NA;NA;yes;1286;NA;NA;yes;1259;yes;1286;yes
24;erik_6_menved;1274;NA;NA;yes;1319;NA;NA;yes;1286;yes;1319;yes
25;christoffer_2;1276;NA;NA;yes;1332;NA;NA;yes;1320;yes;1326;yes
26;valdemar_3;1315;NA;NA;no;1364;NA;NA;yes;1326;yes;1329;yes
27;christoffer_2;1276;NA;NA;yes;1332;NA;NA;yes;1329;yes;1332;yes
28;valdemar_4_atterdag;1320;NA;NA;no;1375;NA;NA;yes;1340;yes;1375;yes
29;oluf_2;1370;NA;NA;yes;1387;NA;NA;yes;1375;yes;1387;yes
30;margrete_1;1353;NA;NA;yes;1412;10;28;yes;1387;yes;1396;yes
31;erik_7_af_pommern;1382;NA;NA;yes;1459;NA;NA;yes;1396;yes;1439;yes
32;christoffer_3_af_bayern;1416;NA;NA;yes;1448;NA;NA;yes;1440;yes;1448;yes
33;christian_1;1426;NA;NA;yes;1481;5;21;yes;1448;yes;1481;yes
34;hans;1455;2;2;yes;1513;2;20;yes;1482;yes;1513;yes
35;christian_2;1481;7;1;yes;1559;1;25;yes;1513;yes;1523;yes
36;frederik_1;1471;10;7;yes;1533;4;10;yes;1523;yes;1533;yes
37;christian_3;1503;8;12;yes;1559;1;1;yes;1536;yes;1559;yes
38;frederik_2;1534;7;1;yes;1588;4;4;yes;1559;yes;1588;yes
39;christian_4;1577;4;12;yes;1648;2;28;yes;1596;yes;1648;yes
40;frederik_3;1609;3;18;yes;1670;2;9;yes;1648;yes;1670;yes
41;christian_5;1646;4;15;yes;1699;8;25;yes;1670;yes;1699;yes
42;frederik_4;1671;10;11;yes;1730;19;12;yes;1699;yes;1730;yes
43;christian_6;1699;11;30;yes;1746;8;6;yes;1730;yes;1746;yes
44;frederik_5;1723;3;31;yes;1766;1;14;yes;1746;yes;1766;yes
45;christian_7;1749;1;29;yes;1808;3;13;yes;1766;yes;1808;yes
46;frederik_6;1768;1;28;yes;1839;12;3;yes;1808;yes;1839;yes
47;christian_8;1786;9;18;yes;1848;1;20;yes;1839;yes;1848;yes
48;frederik_7_folkekær;1808;10;6;yes;1863;11;15;yes;1848;yes;1863;yes
49;christian_9;1818;4;8;yes;1906;1;29;yes;1863;yes;1906;yes
50;frederik_8;1843;6;3;yes;1912;5;14;yes;1906;yes;1912;yes
51;christian_10;1870;9;26;yes;1947;4;20;yes;1912;yes;1947;yes
52;frederik_9;1899;3;11;yes;1972;1;14;yes;1947;yes;1972;yes
53;margrethe_2;1940;4;16;yes;NA;NA;NA;NA;1972;yes;2024;yes
54;frederik_10;1968;5;26;yes;NA;NA;NA;NA;2024;yes;NA;NA
